29703,648.9,453.41,842.62,361.81,725.84,546.55,386.41,588.77,843.6,422.07,721.06,627.78,676.07,334.81,477.87,1096.6,1079.1,425.03,564.33,599.92
30002,619.91,342.71,858.61,335.32,746.88,475.8,352.61,447.46,865.21,338.46,714.76,522.62,740.23,291.71,525.89,939.51,1222.9,380.1,643.29,559.81
30302,780.21,504.52,817.25,366.51,785.76,564.88,449.54,648.03,891.85,419.44,825.92,685.9,750.02,352.51,482.58,1023.2,1158.7,412.72,599.5,636.66
30602,494.33,400.68,670.24,349.54,578.26,529.53,272.2,495.65,637.57,338.97,586.86,562.16,563.72,321.39,443.1,1012.9,926.73,391.6,478.16,616.33
30902,539.65,621.59,653.83,446.52,540.06,729.34,278.64,726.52,581.78,461.18,544.51,777.62,538.44,428.39,434.42,1411.2,879.05,515.84,449.23,855.96
31202,573.51,618.37,616.16,411.65,538.2,660.93,267.06,663.78,581.11,429.65,546.26,736.86,545.24,401.46,428.41,1315.8,850,472.33,434.09,810.62
31502,507.71,729.96,575.43,523.26,497.05,889.82,281.96,973.98,535.88,521.32,548.95,982.94,499.69,492.23,370.95,1522.7,722.8,528.12,396.83,1030.6
31802,569.6,731.27,633.56,498.48,511.34,817.77,256.85,831.48,565.98,528.83,526.48,897.27,541.73,475.99,407.54,1556.4,763.49,524.19,419.32,1056.7
32103,498.6,657.82,605.76,491.91,456.84,741.46,252.99,775.82,523.65,460.92,490.2,823.79,520.99,434.1,366.75,1366.8,735.62,472.98,387.34,990.86
32402,353.84,750.11,471.22,510.94,324.95,850,155.93,774.41,380.91,530.47,349.27,922.75,370.08,474.69,268.72,1623.5,553.9,528.32,298.56,1174.4
32702,430.96,783.08,598.88,562.92,397.22,934.42,216.45,991.16,442.26,579.02,411.27,1032.3,492.43,504.93,302.19,1651.1,680.56,539.95,354.1,1225.9
33003,374.34,643.95,571.03,469.29,335.92,781.06,155.45,670.69,398.47,474.49,352.95,831.93,464.02,443.33,262.79,1359.1,587.65,458.53,322.47,1044.8
33303,378.1,706.82,633.66,496.98,334.53,862.26,151.26,754.73,430.12,546.07,363.5,936.63,494.97,470.99,245.45,1508,629.74,514.8,340.83,1139
